count,position,userId
0,null,1000008647588
100,app_pro_coin_mixed,null
0,"",1000008647604
10,null,1000008647604
5,"",1000008647600
null,"",1000008647602
0,app_pro_coin_mixed,1000008647601
30,"",null
5,null,""
"",app_pro_coin_mixed,101
"","",1000008647607
"",null,1000008647610
null,null,1000008647608
null,null,1000008647601
"","",1000008727785
10,app_pro_coin_mixed,1000008647608
5,app_pro_coin_mixed,1000008647608
1,null,101
1,"",1000008647601
10,"",""
0,"",1000008647603
100,null,1000008647603
5,app_pro_coin_mixed,1000008647607
30,app_pro_coin_mixed,1000008647610
100,null,1000008647600
null,app_pro_coin_mixed,1000008647606
5,null,1000008647606
5,app_pro_coin_mixed,1000008727785
10,null,1000008647602
100,"",1000008727784
30,null,1000008647614
null,app_pro_coin_mixed,""
10,null,1000008647607
30,null,1000008727785
30,"",""
null,app_pro_coin_mixed,1000008647604
1,app_pro_coin_mixed,1000008647610
10,"",1000008647614
5,app_pro_coin_mixed,1000008647602
100,"",1000008727785
0,app_pro_coin_mixed,1000008647600
1,"",1000008647608
0,"",101
null,app_pro_coin_mixed,1000008727785
10,"",101
10,"",1000008647612
0,app_pro_coin_mixed,1000008647608
"",app_pro_coin_mixed,""
1,"",""
30,"",1000008647604
30,null,1000008647602
0,app_pro_coin_mixed,1000008647614
null,"",1000008647607
1,null,1000008647604
30,"",1000008647588
null,"",101
10,app_pro_coin_mixed,1000008647588
"",app_pro_coin_mixed,1000008647603
30,app_pro_coin_mixed,1000008727784
30,app_pro_coin_mixed,1000008647601
10,null,1000008727784
0,"",1000008647610
null,app_pro_coin_mixed,1000008647614
100,null,1000008647612
0,null,""
5,app_pro_coin_mixed,1000008647601
0,null,null
1,"",1000008647602
"","",1000008647606
"",app_pro_coin_mixed,1000008647612
100,null,1000008647602
10,null,1000008647606
"",null,1000008647604
10,app_pro_coin_mixed,1000008647610
"","",1000008647602
1,"",1000008647612
null,null,1000008647600
"",app_pro_coin_mixed,1000008647601
100,app_pro_coin_mixed,1000008647601
10,null,1000008727785
10,null,1000008647603
30,null,1000008647608
10,"",1000008647601
30,app_pro_coin_mixed,101
null,"",null
5,null,101
5,"",1000008647610
1,"",1000008647614
"",null,null
0,null,1000008647612
10,null,1000008647600
null,app_pro_coin_mixed,1000008647612
1,app_pro_coin_mixed,1000008647606
0,null,1000008647606
0,"",1000008727784
"",null,1000008647608
1,"",1000008727784
30,"",1000008647600
10,app_pro_coin_mixed,null
1,app_pro_coin_mixed,1000008647588
0,"",1000008727785
5,null,1000008647604
30,null,1000008647603
30,app_pro_coin_mixed,1000008647607
1,app_pro_coin_mixed,1000008727785
5,app_pro_coin_mixed,1000008727784
0,"",1000008647607
null,null,1000008647588
"","",1000008647614
null,app_pro_coin_mixed,1000008727784
5,null,null
30,app_pro_coin_mixed,1000008647612
100,null,1000008647588
30,null,1000008647606
1,app_pro_coin_mixed,1000008647603
5,null,1000008647588
5,null,1000008647614
0,"",1000008647602
100,null,1000008647607
100,app_pro_coin_mixed,1000008647614
100,app_pro_coin_mixed,1000008647608
100,null,1000008647604
1,app_pro_coin_mixed,null
null,app_pro_coin_mixed,1000008647610
5,null,1000008647612
100,null,""
5,"",1000008647603
"","",1000008647600
1,"",1000008647607
100,app_pro_coin_mixed,1000008647606
100,"",101
100,"",1000008647610
"",app_pro_coin_mixed,1000008727784
"",app_pro_coin_mixed,1000008647588
null,"",1000008647603
1,app_pro_coin_mixed,1000008647600
